"게시물 ID","계정 ID","계정 사용자 이름","계정 이름",설명,기간(초),"게시 시간","고유 링크","게시물 유형","데이터 댓글",날짜,조회,도달,좋아요,공유,팔로우,댓글,저장
18310042118820017,17841400000000001,abrand_official,에이브랜드,"앰플 사용 전후 4주 기록",47,"08/03/2026 20:10",https://www.instagram.com/reel/DA1aB2cD3g2/,"Instagram 릴스",,"전체 기간",1580,1285,85,13,7,6,51
18310042118820018,17841400000000001,abrand_official,에이브랜드,"선크림 덧바르는 시간표",25,"08/05/2026 18:35",https://www.instagram.com/reel/DA1aB2cD3g3/,"Instagram 릴스",,"전체 기간",1810,1470,97,15,8,7,59
18310042118820019,17841400000000001,abrand_official,에이브랜드,"민감성 피부 성분 체크리스트",0,"08/07/2026 12:40",https://www.instagram.com/p/DA1aB2cD3g4/,"Instagram 캐러셀",,"전체 기간",1490,1210,80,12,6,6,48
18310042118820020,17841400000000001,abrand_official,에이브랜드,"클렌징 두 번 하는 이유",32,"08/09/2026 19:50",https://www.instagram.com/reel/DA1aB2cD3g5/,"Instagram 릴스",,"전체 기간",1660,1350,89,14,7,6,54
18310042118820021,17841400000000001,abrand_official,에이브랜드,"여름 끝 피부 정리 순서",0,"08/11/2026 13:05",https://www.instagram.com/p/DA1aB2cD3g6/,"Instagram 게시물",,"전체 기간",1540,1250,83,13,6,6,50
18310042118820022,17841400000000001,abrand_official,에이브랜드,"펌프형 용기 끝까지 쓰기",23,"08/13/2026 20:25",https://www.instagram.com/reel/DA1aB2cD3g7/,"Instagram 릴스",,"전체 기간",1870,1520,100,15,8,7,61
18310042118820023,17841400000000001,abrand_official,에이브랜드,"토너 패드 하루 몇 장",0,"08/15/2026 11:55",https://www.instagram.com/p/DA1aB2cD3g8/,"Instagram 게시물",,"전체 기간",1420,1155,76,11,5,5,46
18310042118820024,17841400000000001,abrand_official,에이브랜드,"자기 전 5분 루틴 정리",38,"08/17/2026 21:15",https://www.instagram.com/reel/DA1aB2cD3g9/,"Instagram 릴스",,"전체 기간",1700,1380,91,14,7,7,55
18310042118820025,17841400000000001,abrand_official,에이브랜드,"수분 크림 두께 비교",30,"08/19/2026 19:40",https://www.instagram.com/reel/DA1aB2cD3h0/,"Instagram 릴스",,"전체 기간",1600,1300,86,13,7,6,52
18310042118820026,17841400000000001,abrand_official,에이브랜드,"피지 잡는 순서 세 가지",27,"08/21/2026 18:30",https://www.instagram.com/reel/DA1aB2cD3h1/,"Instagram 릴스",,"전체 기간",1780,1445,95,14,8,7,58
18310042118820027,17841400000000001,abrand_official,에이브랜드,"공병 수거 캠페인 안내",0,"08/23/2026 11:20",https://www.instagram.com/p/DA1aB2cD3h2/,"Instagram 캐러셀",,"전체 기간",1380,1120,74,11,5,5,45
18310042118820028,17841400000000001,abrand_official,에이브랜드,"세안 직후 3분 규칙",26,"08/25/2026 20:50",https://www.instagram.com/reel/DA1aB2cD3h3/,"Instagram 릴스",,"전체 기간",1680,1365,90,14,7,6,55
18310042118820029,17841400000000001,abrand_official,에이브랜드,"각질 제거 주기 정하기",35,"08/28/2026 19:05",https://www.instagram.com/reel/DA1aB2cD3h4/,"Instagram 릴스",,"전체 기간",1560,1270,84,13,7,6,51
18310042118820030,17841400000000001,abrand_official,에이브랜드,"세럼과 에센스 순서 정리",42,"08/30/2026 20:35",https://www.instagram.com/reel/DA1aB2cD3h5/,"Instagram 릴스",,"전체 기간",1500,1220,85,12,6,7,49
